,Name,Location,Location_encoded,Year,Kilometers_Driven,Fuel_Type,fuel_encoded,Transmission,Transmission_encoder,Owner_Type,Owner_Type_Encoding,Mileage,Engine,Power,Seats,New_Price,Price
1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,0,2013,87000,Diesel,1,Automatic,0,First,0,22.0,1582.0,126.2,5.0,15.72,5.9
1192,Volvo S60 D4 Momentum,Hyderabad,5,2015,51000,Diesel,1,Automatic,0,First,0,27.03,1969.0,190.0,5.0,45.67,25.0
1195,BMW 3 Series 320d Luxury Line,Chennai,2,2012,65000,Diesel,1,Automatic,0,First,0,22.69,1995.0,190.0,5.0,54.7,14.0
1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,5,2017,24393,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,22.87,20.4
1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,5,2019,1000,Petrol,2,Manual,1,First,0,18.78,999.0,75.0,5.0,6.74,5.68
1200,Mitsubishi Pajero Sport 4X4,Mumbai,9,2013,59000,Diesel,1,Manual,1,First,0,13.5,2477.0,175.56,7.0,33.09,12.75
1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,4,2017,21000,Petrol,2,Automatic,0,First,0,14.28,1798.0,138.03,5.0,23.25,18.0
1230,Toyota Corolla Altis 1.4 DG,Ahmedabad,0,2012,52000,Diesel,1,Manual,1,First,0,21.43,1364.0,86.79,5.0,19.27,6.5
1242,Jaguar XE 2.0L Diesel Prestige,Delhi,4,2018,1000,Diesel,1,Automatic,0,First,0,13.6,1999.0,177.0,5.0,52.77,40.0
1243,Mahindra Xylo D4,Chennai,2,2016,85000,Diesel,1,Manual,1,First,0,14.95,2489.0,93.7,7.0,11.67,6.15
1247,Maruti Swift VDI,Kochi,7,2017,34613,Diesel,1,Manual,1,First,0,28.4,1248.0,74.0,5.0,7.92,6.24
1256,Hyundai Xcent 1.2 VTVT S,Bangalore,1,2014,54000,Petrol,2,Manual,1,First,0,20.14,1197.0,81.86,5.0,7.85,5.5
1270,Honda City i-VTEC CVT VX,Kochi,7,2018,22974,Petrol,2,Automatic,0,First,0,18.0,1497.0,117.3,5.0,15.55,11.97
1272,Toyota Fortuner 2.8 2WD MT,Ahmedabad,0,2015,65012,Diesel,1,Manual,1,First,0,14.24,2755.0,174.5,7.0,32.45,18.9
1274,Maruti Eeco 7 Seater Standard,Hyderabad,5,2015,90413,Petrol,2,Manual,1,First,0,15.1,1196.0,73.0,7.0,4.83,2.95
1301,Maruti Swift LDI,Mumbai,9,2015,14000,Diesel,1,Manual,1,First,0,28.4,1248.0,74.0,5.0,7.13,5.25
1303,BMW 5 Series 520d Luxury Line,Coimbatore,3,2012,44450,Diesel,1,Automatic,0,First,0,22.48,1995.0,190.0,5.0,71.82,24.68
1305,BMW X1 M Sport sDrive 20d,Mumbai,9,2016,31000,Diesel,1,Automatic,0,First,0,17.05,1995.0,190.0,5.0,50.97,29.5
1313,Hyundai Verna CRDi 1.4 E,Chennai,2,2008,121097,Diesel,1,Manual,1,Second,1,24.0,1396.0,88.76,5.0,10.73,1.9
1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,6,2013,86000,Diesel,1,Manual,1,Second,1,19.5,1248.0,75.0,5.0,9.5,2.5
1320,BMW 3 Series 320d Luxury Line,Kochi,7,2013,37613,Diesel,1,Automatic,0,First,0,22.69,1995.0,190.0,5.0,52.46,13.95
1324,Maruti Ignis 1.2 Delta,Coimbatore,3,2019,16862,Petrol,2,Manual,1,First,0,20.89,1197.0,81.8,5.0,6.07,6.06
1332,Maruti Wagon R CNG LXI,Pune,10,2013,79494,CNG,0,Manual,1,First,0,33.54,998.0,67.04,5.0,5.54,2.96
1336,Audi Q7 45 TDI Quattro Technology,Mumbai,9,2016,20002,Diesel,1,Automatic,0,First,0,14.75,2967.0,245.0,7.0,1.04,67.0
1362,Maruti Alto K10 VXI,Kolkata,8,2018,2100,Petrol,2,Manual,1,First,0,24.07,998.0,67.1,5.0,4.33,3.6
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,3,2018,20667,Petrol,2,Automatic,0,First,0,18.9,1197.0,81.86,5.0,8.63,7.55
1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,7,2019,18453,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.68,6.17
1369,Hyundai Verna CRDi 1.6 SX,Hyderabad,5,2008,96578,Diesel,1,Manual,1,First,0,22.0,1582.0,126.2,5.0,14.07,2.5
1381,Renault Duster 110PS Diesel RxZ AMT,Bangalore,1,2016,45000,Diesel,1,Automatic,0,First,0,19.6,1461.0,108.45,5.0,15.05,11.5
1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,1,2018,3000,Petrol,2,Automatic,0,First,0,18.9,1197.0,81.86,5.0,7.98,6.2
1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,8,2016,66618,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,24.82,15.49
1412,Tata Zest Revotron 1.2T XM,Mumbai,9,2016,43706,Petrol,2,Manual,1,First,0,17.57,1193.0,88.7,5.0,7.63,4.0
1427,Toyota Innova Crysta 2.4 VX MT,Kochi,7,2018,8899,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,22.86,19.92
1437,Ford EcoSport 1.5 Petrol Titanium,Pune,10,2018,17000,Petrol,2,Manual,1,First,0,17.0,1497.0,121.36,5.0,11.06,9.2
1443,Maruti Alto K10 VXI,Hyderabad,5,2016,10000,Petrol,2,Manual,1,First,0,24.07,998.0,67.1,5.0,4.53,3.5
1455,Toyota Corolla Altis 1.8 G,Mumbai,9,2010,93000,Petrol,2,Manual,1,First,0,14.28,1798.0,138.03,5.0,19.39,4.5
1472,Hyundai Elantra 2.0 SX Option AT,Delhi,4,2017,9500,Petrol,2,Automatic,0,First,0,14.62,1999.0,149.92,5.0,21.77,16.35
1490,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2,2016,55000,Diesel,1,Automatic,0,First,0,17.6,1582.0,126.2,5.0,18.35,12.5
1494,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,6,2016,58095,Diesel,1,Manual,1,First,0,21.66,1498.0,108.62,5.0,9.19,5.8
1495,Tata Zest Revotron 1.2 XT,Kolkata,8,2015,7445,Petrol,2,Manual,1,First,0,17.57,1193.0,88.7,5.0,8.09,5.0
1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,7,2018,28321,Petrol,2,Automatic,0,First,0,14.28,1798.0,138.03,5.0,23.25,17.49
1505,Land Rover Range Rover Sport SE,Kochi,7,2019,26013,Diesel,1,Automatic,0,First,0,12.65,2993.0,255.0,5.0,1.39,97.07
1519,Maruti Dzire AMT ZDI Plus,Hyderabad,5,2017,28226,Diesel,1,Automatic,0,First,0,28.4,1248.0,73.75,5.0,11.52,9.15
1525,Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2,2016,29200,Diesel,1,Manual,1,First,0,23.0,1498.0,98.96,5.0,13.23,7.7
1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,3,2018,38310,Diesel,1,Manual,1,First,0,20.65,1248.0,88.7,5.0,10.06,6.69
1531,Skoda Rapid 1.5 TDI AT Style,Kolkata,8,2017,31300,Diesel,1,Automatic,0,First,0,21.72,1498.0,108.4,5.0,15.34,10.5
1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,3,2019,11241,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,8.0,24.01,22.55
1542,Mahindra Thar CRDe,Jaipur,6,2016,19000,Diesel,1,Manual,1,First,0,16.55,2498.0,105.0,6.0,11.39,9.25
1544,Ford Aspire Titanium Diesel,Coimbatore,3,2017,30279,Diesel,1,Manual,1,First,0,26.1,1498.0,99.0,5.0,9.79,7.29
1545,Mini Cooper 3 DOOR D,Mumbai,9,2016,20000,Diesel,1,Automatic,0,First,0,20.7,1496.0,113.98,4.0,35,23.5
1547,Mahindra Verito 1.5 D4 BSIV,Pune,10,2015,90000,Diesel,1,Manual,1,Second,1,21.03,1461.0,65.0,5.0,9.26,3.1
1558,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,3,2017,22389,Petrol,2,Manual,1,First,0,17.0,1198.0,73.75,5.0,8.68,7.23
1568,Land Rover Discovery Sport TD4 HSE 7S,Mumbai,9,2017,40000,Diesel,1,Automatic,0,First,0,12.81,1999.0,148.31,7.0,66.39,41.5
1574,Volkswagen Tiguan 2.0 TDI Highline,Jaipur,6,2017,50510,Diesel,1,Automatic,0,First,0,17.06,1968.0,141.0,5.0,36.45,24.9
1583,Audi Q7 45 TDI Quattro Premium Plus,Kochi,7,2019,6773,Diesel,1,Automatic,0,First,0,14.75,2967.0,245.0,7.0,91.38,72.94
1589,Mahindra Bolero ZLX,Jaipur,6,2013,63000,Diesel,1,Manual,1,First,0,15.96,2523.0,62.1,7.0,11.15,5.5
1631,BMW X1 M Sport sDrive 20d,Kochi,7,2017,32838,Diesel,1,Automatic,0,First,0,17.05,1995.0,190.0,5.0,50.97,30.29
1652,Jaguar XE 2.0L Diesel Prestige,Hyderabad,5,2017,4000,Diesel,1,Automatic,0,First,0,13.6,1999.0,177.0,5.0,53.41,38.0
1663,Maruti Wagon R LXI,Delhi,4,2012,45631,Petrol,2,Manual,1,Second,1,22.5,998.0,67.04,5.0,4.59,2.74
1677,Hyundai Grand i10 1.2 Kappa Magna,Delhi,4,2017,12248,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.54,4.9
1680,Maruti Alto K10 VXI,Coimbatore,3,2011,48624,Petrol,2,Manual,1,First,0,24.07,998.0,67.1,5.0,4.7,3.22
1689,BMW 5 Series 520d Luxury Line,Kochi,7,2018,32586,Diesel,1,Automatic,0,First,0,22.48,1995.0,190.0,5.0,67.87,37.3
1690,Mercedes-Benz GLE 350d,Coimbatore,3,2018,40129,Diesel,1,Automatic,0,First,0,11.57,2987.0,254.79,5.0,95.13,70.8
1692,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,7,2018,10393,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.62,6.03
1704,Honda Amaze V CVT Petrol,Pune,10,2018,1700,Petrol,2,Automatic,0,First,0,19.0,1199.0,88.76,5.0,9.44,7.8
1708,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,3,2016,58661,Diesel,1,Automatic,0,First,0,15.17,1968.0,181.0,5.0,48.64,28.03
1717,Mahindra Xylo D4,Hyderabad,5,2015,169000,Diesel,1,Manual,1,First,0,14.95,2489.0,93.7,7.0,11.69,5.0
1725,Maruti Ciaz Zeta,Mumbai,9,2017,5500,Petrol,2,Manual,1,First,0,21.56,1462.0,103.25,5.0,11.11,8.2
1743,Maruti Wagon R LXI,Ahmedabad,0,2010,21002,Petrol,2,Manual,1,First,0,22.5,998.0,67.04,5.0,4.74,2.75
1747,Maruti Eeco 7 Seater Standard,Coimbatore,3,2017,28371,Petrol,2,Manual,1,First,0,15.1,1196.0,73.0,7.0,4.98,4.74
1754,Renault KWID Climber 1.0 MT,Delhi,4,2017,15000,Petrol,2,Manual,1,First,0,21.7,999.0,67.0,5.0,4.98,4.25
1773,Honda WRV i-VTEC VX,Kochi,7,2018,15135,Petrol,2,Manual,1,First,0,17.5,1199.0,88.7,5.0,10.57,9.29
1783,Maruti Wagon R VXI AMT,Coimbatore,3,2017,37832,Petrol,2,Automatic,0,First,0,22.5,998.0,67.0,5.0,6.33,5.23
1784,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,3,2016,43041,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,8.1,6.01
1793,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,8,2017,31184,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.4,5.0
1794,Maruti Dzire AMT ZDI Plus,Pune,10,2017,41747,Diesel,1,Automatic,0,First,0,28.4,1248.0,73.75,5.0,11.26,9.0
1797,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,3,2019,20877,Petrol,2,Manual,1,First,0,18.16,1197.0,78.9,5.0,7.59,7.27
1798,Maruti Swift VXI,Mumbai,9,2016,23555,Petrol,2,Manual,1,First,0,22.0,1197.0,81.8,5.0,7,5.1
1803,Volkswagen Polo GT TSI,Mumbai,9,2016,28000,Petrol,2,Automatic,0,First,0,17.21,1197.0,103.5,5.0,11.26,7.25
1805,Tata Bolt Quadrajet XE,Hyderabad,5,2017,40000,Diesel,1,Manual,1,First,0,22.95,1248.0,74.0,5.0,7.43,5.25
1823,Hyundai Elantra 1.6 SX Option AT,Ahmedabad,0,2014,49000,Diesel,1,Automatic,0,First,0,18.23,1582.0,126.2,5.0,22.43,8.9
1824,Jeep Compass 2.0 Limited Option Black,Mumbai,9,2017,7000,Diesel,1,Manual,1,First,0,17.1,1956.0,170.0,5.0,24.02,17.45
1826,Toyota Corolla Altis 1.8 GL,Kochi,7,2012,83184,Petrol,2,Manual,1,First,0,14.28,1798.0,138.03,5.0,21.69,6.22
1830,Mercedes-Benz GLE 350d,Coimbatore,3,2017,33552,Diesel,1,Automatic,0,First,0,11.57,2987.0,254.79,5.0,95.13,64.87
1841,Mercedes-Benz A Class A180 Sport,Mumbai,9,2016,17000,Petrol,2,Automatic,0,First,0,15.5,1595.0,122.0,5.0,34.63,17.25
1842,Hyundai Grand i10 1.2 Kappa Magna,Kochi,7,2018,46493,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.32,5.53
1855,BMW 3 Series 320d,Ahmedabad,0,2011,100000,Diesel,1,Automatic,0,Second,1,22.69,1995.0,190.0,5.0,43.31,10.9
1872,Maruti Eeco 7 Seater Standard,Mumbai,9,2014,34669,Petrol,2,Manual,1,First,0,15.1,1196.0,73.0,7.0,4.71,2.9
1877,Toyota Innova Crysta 2.8 GX AT,Kochi,7,2019,10601,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,20.74,19.65
1885,Mercedes-Benz GLS 350d Grand Edition,Delhi,4,2018,6000,Diesel,1,Automatic,0,First,0,11.0,2987.0,258.0,7.0,1.02,79.0
1886,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,4,2018,9434,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.71,5.75
1896,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,3,2018,35569,Petrol,2,Manual,1,First,0,17.0,1198.0,73.75,5.0,8.68,7.27
1902,Toyota Fortuner 2.8 2WD AT,Ahmedabad,0,2017,15000,Diesel,1,Automatic,0,First,0,12.9,2755.0,174.5,7.0,34.45,30.0
1920,Maruti Dzire VDI,Delhi,4,2016,45376,Diesel,1,Manual,1,First,0,28.4,1248.0,73.75,5.0,8.58,5.75
1923,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,7,2017,78526,Diesel,1,Manual,1,First,0,23.0,1498.0,98.96,5.0,12.67,8.09
1926,BMW X1 sDrive 20d xLine,Coimbatore,3,2015,42265,Diesel,1,Automatic,0,Second,1,20.68,1995.0,190.0,5.0,48.18,22.24
1932,Ford EcoSport 1.5 Diesel Titanium,Mumbai,9,2017,26000,Diesel,1,Manual,1,First,0,23.0,1498.0,98.96,5.0,11.89,8.99
1934,Maruti Dzire ZDI Plus,Jaipur,6,2017,24000,Diesel,1,Manual,1,First,0,28.4,1248.0,73.75,5.0,10.48,8.2
1955,Hyundai Verna VTVT 1.6 SX Option,Delhi,4,2013,57478,Petrol,2,Manual,1,Second,1,17.0,1591.0,121.3,5.0,13.59,5.25
1961,Maruti Vitara Brezza ZDi,Hyderabad,5,2016,41372,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,11.02,9.3
1963,Mercedes-Benz GLA Class 200 d Sport,Pune,10,2017,35000,Diesel,1,Automatic,0,First,0,17.9,2143.0,136.0,5.0,41.94,23.5
1990,Maruti Dzire VDI,Mumbai,9,2012,74000,Diesel,1,Manual,1,Second,1,28.4,1248.0,73.75,5.0,8.94,4.25
1991,Jeep Compass 2.0 Longitude,Kochi,7,2018,28937,Diesel,1,Manual,1,First,0,17.1,1956.0,170.0,5.0,21.38,17.02
1994,Toyota Corolla Altis 1.4 DG,Coimbatore,3,2013,63854,Diesel,1,Manual,1,First,0,21.43,1364.0,86.79,5.0,19.27,7.12
1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2,2018,3000,Diesel,1,Automatic,0,First,0,24.3,1248.0,88.5,5.0,12.88,11.25
1998,Hyundai Xcent 1.2 VTVT SX,Mumbai,9,2014,64241,Petrol,2,Manual,1,First,0,20.14,1197.0,81.86,5.0,8.27,3.67
2003,BMW X1 sDrive 20d xLine,Bangalore,1,2016,28143,Diesel,1,Automatic,0,First,0,20.68,1995.0,190.0,5.0,48.18,28.5
2008,Toyota Innova Crysta 2.4 VX MT,Hyderabad,5,2017,67000,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,22.87,16.5
2013,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,7,2018,5354,Petrol,2,Automatic,0,First,0,18.9,1197.0,81.86,5.0,7.37,6.76
2014,Volkswagen Polo 1.0 MPI Comfortline,Chennai,2,2016,42000,Petrol,2,Manual,1,Second,1,18.78,999.0,75.0,5.0,7.33,5.5
2025,Maruti Eeco 7 Seater Standard,Coimbatore,3,2013,54885,Petrol,2,Manual,1,First,0,15.1,1196.0,73.0,7.0,4.98,3.75
2030,Toyota Innova Crysta 2.4 VX MT,Mumbai,9,2016,25121,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,23.06,17.11
2041,Mahindra Bolero SLE,Hyderabad,5,2012,75000,Diesel,1,Manual,1,First,0,15.96,2523.0,62.1,7.0,10.32,4.3
2054,Maruti Ignis 1.2 Alpha,Mumbai,9,2017,1000,Petrol,2,Manual,1,First,0,20.89,1197.0,81.8,5.0,7.87,6.36
2056,BMW 7 Series 730Ld Eminence,Kochi,7,2015,29966,Diesel,1,Automatic,0,Second,1,16.77,2993.0,261.49,5.0,1.4,43.6
2059,Maruti Wagon R CNG LXI,Mumbai,9,2013,54000,CNG,0,Manual,1,First,0,33.54,998.0,67.04,5.0,5.58,3.05
2061,Jeep Compass 2.0 Longitude,Coimbatore,3,2018,33218,Diesel,1,Manual,1,First,0,17.1,1956.0,170.0,5.0,22.46,19.05
2073,Mini Cooper 5 DOOR D,Hyderabad,5,2017,2000,Diesel,1,Automatic,0,First,0,20.7,1496.0,113.98,5.0,42.48,34.0
2075,Tata Zest Revotron 1.2T XMS,Chennai,2,2015,40000,Petrol,2,Manual,1,First,0,17.57,1193.0,88.7,5.0,7.69,4.0
2079,Ford Aspire Titanium Plus Diesel,Kolkata,8,2015,2800,Diesel,1,Manual,1,First,0,26.1,1498.0,99.0,5.0,9.4,8.41
2086,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,3,2016,37429,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,8.1,5.89
2088,Honda City i-VTEC V,Delhi,4,2011,67031,Petrol,2,Manual,1,First,0,17.4,1497.0,117.3,5.0,11.85,4.0
2090,Maruti Celerio VXI AMT,Mumbai,9,2016,47691,Petrol,2,Automatic,0,First,0,23.1,998.0,67.04,5.0,6.08,3.94
2094,Maruti Dzire VDI,Kolkata,8,2015,28193,Diesel,1,Manual,1,First,0,28.4,1248.0,73.75,5.0,8.36,5.25
2095,Mercedes-Benz SLC 43 AMG,Coimbatore,3,2019,2526,Petrol,2,Automatic,0,First,0,19.0,2996.0,362.07,2.0,1.06,83.96
2097,Mercedes-Benz E-Class E 220 d,Hyderabad,5,2013,85000,Diesel,1,Automatic,0,First,0,16.1,1950.0,194.0,5.0,71.15,21.0
2098,Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,0,2015,20780,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.82,4.3
2111,Mercedes-Benz GLE 250d,Kochi,7,2017,25601,Diesel,1,Automatic,0,First,0,17.9,2143.0,201.15,5.0,78.76,56.73
2119,Ford Freestyle Titanium Petrol,Mumbai,9,2007,1261,Petrol,2,Manual,1,First,0,19.0,1194.0,94.68,5.0,8.12,6.0
2120,Hyundai Elite i20 Asta Option,Coimbatore,3,2017,59450,Petrol,2,Manual,1,First,0,18.6,1197.0,81.86,5.0,9.78,7.53
2127,Maruti Baleno Delta,Mumbai,9,2016,12573,Petrol,2,Manual,1,First,0,21.4,1197.0,83.1,5.0,7.36,5.8
2134,Toyota Fortuner 2.8 2WD AT,Pune,10,2017,29000,Diesel,1,Automatic,0,First,0,12.9,2755.0,174.5,7.0,38.11,31.0
2138,Maruti Ertiga ZDI,Delhi,4,2013,68000,Diesel,1,Manual,1,First,0,25.47,1248.0,88.5,7.0,11.75,4.85
2151,Maruti Swift VDI,Hyderabad,5,2013,84000,Diesel,1,Manual,1,First,0,28.4,1248.0,74.0,5.0,8.44,5.65
2157,Hyundai Creta 1.6 SX Option,Delhi,4,2016,24347,Petrol,2,Manual,1,First,0,15.8,1591.0,121.3,5.0,16.06,11.0
2160,Honda City i-VTEC CVT VX,Mumbai,9,2017,17000,Petrol,2,Automatic,0,First,0,18.0,1497.0,117.3,5.0,15.29,11.6
2166,Honda Brio 1.2 VX MT,Kochi,7,2014,41460,Petrol,2,Manual,1,First,0,18.5,1198.0,86.8,5.0,6.63,3.95
2178,Land Rover Discovery HSE Luxury 3.0 TD6,Mumbai,9,2017,35000,Diesel,1,Automatic,0,First,0,18.0,2993.0,255.0,7.0,1.27,41.6
2182,Toyota Fortuner 2.8 4WD MT,Bangalore,1,2015,150386,Diesel,1,Manual,1,First,0,14.24,2755.0,174.5,7.0,39.6,23.0
2185,Maruti Vitara Brezza ZDi Plus,Ahmedabad,0,2017,80000,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,10.91,8.0
2187,Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,Mumbai,9,2016,13000,Petrol,2,Automatic,0,First,0,12.95,1999.0,152.88,5.0,25.75,17.75
2195,Maruti Wagon R VXI,Kolkata,8,2016,16956,Petrol,2,Manual,1,First,0,22.5,998.0,67.04,5.0,5.29,3.6
2200,Maruti Wagon R VXI,Mumbai,9,2010,38000,Petrol,2,Manual,1,Second,1,22.5,998.0,67.04,5.0,5.61,1.75
2220,Honda Brio 1.2 VX AT,Mumbai,9,2017,20000,Petrol,2,Automatic,0,First,0,16.5,1198.0,86.8,5.0,8.05,5.99
2224,Toyota Etios Cross 1.4L GD,Kochi,7,2016,36681,Diesel,1,Manual,1,First,0,23.59,1364.0,67.06,5.0,8.82,6.71
2229,Honda City i-VTEC CVT ZX,Coimbatore,3,2018,20300,Petrol,2,Automatic,0,First,0,18.0,1497.0,117.3,5.0,17.38,14.21
2231,Maruti Celerio ZXI MT,Kochi,7,2017,21799,Petrol,2,Manual,1,First,0,23.1,998.0,67.04,5.0,5.69,5.11
2233,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,5,2017,35358,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,26.56,22.99
2239,Tata Tiago 1.2 Revotron XT,Jaipur,6,2016,42700,Petrol,2,Manual,1,First,0,23.84,1199.0,84.0,5.0,5.61,3.6
2242,Toyota Fortuner 2.8 4WD MT,Hyderabad,5,2010,110000,Diesel,1,Manual,1,First,0,14.24,2755.0,174.5,7.0,37.51,13.7
2245,Maruti Wagon R VXI 1.2,Mumbai,9,2015,55000,Petrol,2,Manual,1,First,0,21.5,1197.0,81.8,5.0,5.88,3.1
2251,Honda City i-DTEC ZX,Hyderabad,5,2017,46000,Diesel,1,Manual,1,First,0,25.6,1498.0,98.6,5.0,16.95,12.9
2260,BMW 5 Series 520d Luxury Line,Ahmedabad,0,2012,95000,Diesel,1,Automatic,0,Second,1,22.48,1995.0,190.0,5.0,63.71,17.5
2275,Ford EcoSport 1.5 Diesel Titanium,Delhi,4,2017,39000,Diesel,1,Manual,1,First,0,23.0,1498.0,98.96,5.0,11.47,8.45
2277,Toyota Fortuner 2.8 4WD MT,Mumbai,9,2010,140000,Diesel,1,Manual,1,First,0,14.24,2755.0,174.5,7.0,37.46,10.75
2290,Maruti Swift VDI,Kochi,7,2016,62192,Diesel,1,Manual,1,First,0,28.4,1248.0,74.0,5.0,7.88,5.22
2292,Maruti Ciaz Alpha,Kochi,7,2018,38394,Petrol,2,Manual,1,First,0,21.56,1462.0,103.25,5.0,11.37,9.18
2309,Hyundai Elantra 2.0 SX Option AT,Delhi,4,2016,28000,Petrol,2,Automatic,0,First,0,14.62,1999.0,149.92,5.0,21.77,13.9
2313,Volkswagen Vento 1.5 TDI Trendline,Mumbai,9,2011,47000,Diesel,1,Manual,1,First,0,20.64,1498.0,108.5,5.0,11.3,3.25
2319,Mercedes-Benz E-Class E 350 d,Coimbatore,3,2019,9312,Diesel,1,Automatic,0,First,0,18.0,2987.0,258.0,5.0,92.5,78.8
2326,Hyundai Elantra 2.0 SX Option AT,Coimbatore,3,2015,58239,Petrol,2,Automatic,0,First,0,14.62,1999.0,149.92,5.0,23.64,9.69
2333,Nissan Terrano XL D Option,Mumbai,9,2014,51000,Diesel,1,Manual,1,First,0,19.87,1461.0,83.14,5.0,15.06,5.65
2334,Toyota Fortuner 2.8 2WD AT,Ahmedabad,0,2016,88008,Diesel,1,Automatic,0,Second,1,12.9,2755.0,174.5,7.0,34.45,22.5
