,Name,Location,Location_encoded,Year,Kilometers_Driven,Fuel_Type,fuel_encoded,Transmission,Transmission_encoder,Owner_Type,Owner_Type_Encoding,Mileage,Engine,Power,Seats,New_Price,Price
2341,Mercedes-Benz GLA Class 200 d Sport,Mumbai,9,2018,10000,Diesel,1,Automatic,0,First,0,17.9,2143.0,136.0,5.0,41.94,28.9
2364,Mini Cooper Convertible S,Chennai,2,2012,17000,Petrol,2,Automatic,0,Second,1,16.82,1998.0,189.08,4.0,44.28,22.0
2370,Mini Cooper 3 DOOR S,Mumbai,9,2013,21000,Petrol,2,Automatic,0,First,0,17.44,1998.0,189.08,4.0,39.57,21.5
2371,Maruti Wagon R CNG LXI,Pune,10,2014,29202,CNG,0,Manual,1,First,0,33.54,998.0,67.04,5.0,5.54,3.9
2380,Skoda Rapid 1.6 MPI AT Ambition,Mumbai,9,2017,32000,Petrol,2,Automatic,0,First,0,14.84,1598.0,103.52,5.0,13.7,8.11
2387,Maruti Ertiga VDI,Delhi,4,2017,65000,Diesel,1,Manual,1,First,0,25.47,1248.0,88.5,7.0,11.16,7.65
2397,Ford EcoSport 1.5 Petrol Trend,Kolkata,8,2016,21460,Petrol,2,Manual,1,First,0,17.0,1497.0,121.36,5.0,9.47,6.0
2400,Honda Jazz V CVT,Hyderabad,5,2015,33000,Petrol,2,Automatic,0,First,0,19.0,1199.0,88.7,5.0,10.17,7.25
2410,Maruti Vitara Brezza ZDi Plus,Jaipur,6,2017,48324,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,11.47,9.0
2413,Hyundai Grand i10 1.2 CRDi Sportz,Kochi,7,2017,20773,Diesel,1,Manual,1,First,0,24.0,1186.0,73.97,5.0,8.17,5.92
2414,Volkswagen Polo 1.5 TDI Highline,Kolkata,8,2016,22000,Diesel,1,Manual,1,First,0,20.14,1498.0,88.0,5.0,9.58,6.29
2423,BMW 3 Series 320d,Mumbai,9,2013,25000,Diesel,1,Automatic,0,First,0,22.69,1995.0,190.0,5.0,47.87,17.99
2428,Mahindra Xylo H4,Chennai,2,2015,82000,Diesel,1,Manual,1,Second,1,14.02,2179.0,118.3,7.0,11.67,4.85
2438,Maruti Dzire VDI,Hyderabad,5,2011,110000,Diesel,1,Manual,1,First,0,28.4,1248.0,73.75,5.0,9.14,4.0
2443,Volkswagen Polo 1.5 TDI Highline,Delhi,4,2012,68038,Diesel,1,Manual,1,First,0,20.14,1498.0,88.0,5.0,9.96,3.6
2445,BMW 5 Series 520d Luxury Line,Ahmedabad,0,2013,55000,Diesel,1,Automatic,0,First,0,22.48,1995.0,190.0,5.0,63.71,21.75
2446,Mercedes-Benz GLC 220d 4MATIC Sport,Mumbai,9,2017,25000,Diesel,1,Automatic,0,First,0,17.9,2143.0,170.0,5.0,64.14,45.0
2447,Maruti Alto K10 VXI,Coimbatore,3,2011,46808,Petrol,2,Manual,1,Second,1,24.07,998.0,67.1,5.0,4.7,3.19
2448,Hyundai Xcent 1.2 VTVT S,Coimbatore,3,2015,65743,Petrol,2,Manual,1,First,0,20.14,1197.0,81.86,5.0,7.85,6.2
2454,Hyundai Creta 1.6 SX Option,Mumbai,9,2016,29477,Petrol,2,Manual,1,First,0,15.8,1591.0,121.3,5.0,16.36,10.25
2455,Toyota Fortuner 2.8 2WD AT,Delhi,4,2017,40000,Diesel,1,Automatic,0,First,0,12.9,2755.0,174.5,7.0,37.38,30.0
2459,Ford EcoSport 1.5 Diesel Titanium,Mumbai,9,2017,30000,Diesel,1,Manual,1,First,0,23.0,1498.0,98.96,5.0,11.89,8.99
2464,Tata Zest Revotron 1.2T XE,Delhi,4,2017,47000,Petrol,2,Manual,1,Second,1,17.57,1193.0,88.7,5.0,6.62,4.5
2485,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,7,2017,45362,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,11.75,9.38
2488,Tata Hexa XTA,Coimbatore,3,2019,14233,Diesel,1,Automatic,0,First,0,17.6,2179.0,153.86,7.0,22.74,17.85
2495,Skoda Superb Style 1.8 TSI AT,Mumbai,9,2010,62004,Petrol,2,Automatic,0,Second,1,14.67,1798.0,177.46,5.0,33.36,3.75
2496,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,9,2016,25500,Diesel,1,Automatic,0,First,0,21.5,1498.0,108.5,5.0,15.86,8.95
2509,Mercedes-Benz E-Class E 220 d,Mumbai,9,2018,11000,Diesel,1,Automatic,0,First,0,16.1,1950.0,194.0,5.0,70.55,56.5
2510,BMW 3 Series 320d Luxury Line,Mumbai,9,2014,18600,Diesel,1,Automatic,0,Second,1,22.69,1995.0,190.0,5.0,54.43,21.0
2528,Land Rover Discovery SE 3.0 TD6,Delhi,4,2016,59000,Diesel,1,Automatic,0,First,0,18.0,2993.0,255.0,7.0,1.13,36.75
2533,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,3,2017,20969,Diesel,1,Automatic,0,First,0,17.9,2143.0,136.0,5.0,45.36,27.87
2534,Maruti Vitara Brezza ZDi,Kolkata,8,2018,2900,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,10.13,8.75
2536,Skoda Rapid 1.5 TDI Ambition,Coimbatore,3,2018,5833,Diesel,1,Manual,1,First,0,21.13,1498.0,108.4,5.0,14.22,11.92
2545,Mahindra NuvoSport N8,Coimbatore,3,2017,37712,Diesel,1,Manual,1,First,0,17.45,1493.0,100.0,7.0,11.77,7.57
2558,Datsun redi-GO T Option,Kochi,7,2018,30953,Petrol,2,Manual,1,First,0,22.7,799.0,53.64,5.0,4.05,3.48
2563,Jeep Compass 2.0 Limited 4X4,Coimbatore,3,2018,48188,Diesel,1,Manual,1,First,0,16.3,1956.0,170.0,5.0,26.95,21.69
2569,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,3,2017,65367,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,28.05,20.14
2589,Maruti Wagon R VXI AMT,Mumbai,9,2016,8000,Petrol,2,Automatic,0,First,0,22.5,998.0,67.0,5.0,6.14,4.15
2592,Maruti Alto K10 VXI,Mumbai,9,2016,13198,Petrol,2,Manual,1,First,0,24.07,998.0,67.1,5.0,4.82,3.15
2595,Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,3,2019,15379,Petrol,2,Automatic,0,First,0,23.84,1199.0,83.83,5.0,7.17,6.97
2604,Mini Cooper Convertible S,Mumbai,9,2016,15000,Petrol,2,Automatic,0,First,0,16.82,1998.0,189.08,4.0,44.28,35.0
2607,Hyundai Verna CRDi 1.6 SX Option,Pune,10,2017,50000,Diesel,1,Manual,1,First,0,22.0,1582.0,126.2,5.0,15.72,11.5
2622,Renault Duster 85PS Diesel RxE,Pune,10,2016,54000,Diesel,1,Manual,1,First,0,19.87,1461.0,83.8,5.0,11.27,6.5
2648,Honda BRV i-VTEC V MT,Pune,10,2016,9200,Petrol,2,Manual,1,First,0,15.4,1497.0,117.3,7.0,13.58,8.0
2649,Honda Amaze S Diesel,Hyderabad,5,2015,29000,Diesel,1,Manual,1,First,0,27.4,1498.0,98.6,5.0,9.09,5.99
2665,Maruti Alto K10 VXI,Kochi,7,2018,46805,Petrol,2,Manual,1,First,0,24.07,998.0,67.1,5.0,4.09,3.63
2667,Tata Zest Revotron 1.2T XE,Mumbai,9,2017,100000,Petrol,2,Manual,1,First,0,17.57,1193.0,88.7,5.0,6.83,4.25
2678,Maruti Wagon R LXI,Kochi,7,2011,15466,Petrol,2,Manual,1,First,0,22.5,998.0,67.04,5.0,5.04,3.36
2692,BMW 3 Series 320d,Kolkata,8,2011,70000,Diesel,1,Automatic,0,First,0,22.69,1995.0,190.0,5.0,43.81,10.3
2694,Maruti Wagon R VXI,Kochi,7,2014,41994,Petrol,2,Manual,1,First,0,22.5,998.0,67.04,5.0,5.12,3.41
2699,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,1,2015,51000,Diesel,1,Automatic,0,First,0,15.17,1968.0,181.0,5.0,48.64,27.5
2700,Maruti Wagon R VXI 1.2,Jaipur,6,2015,64876,Petrol,2,Manual,1,First,0,21.5,1197.0,81.8,5.0,5.71,3.5
2701,Maruti Celerio CNG VXI MT,Kochi,7,2016,70536,CNG,0,Manual,1,First,0,31.79,998.0,58.33,5.0,5.87,4.58
2702,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,3,2017,25299,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,12.56,10.34
2709,Honda Amaze V Petrol,Kochi,7,2016,40866,Petrol,2,Manual,1,First,0,19.5,1199.0,86.76,5.0,8.16,5.47
2711,Mini Cooper Convertible S,Kochi,7,2017,20469,Petrol,2,Automatic,0,First,0,16.82,1998.0,189.08,4.0,44.28,35.98
2722,Volkswagen Ameo 1.5 TDI Highline,Kochi,7,2018,31426,Diesel,1,Manual,1,First,0,21.66,1498.0,108.62,5.0,9.72,7.9
2728,Maruti Baleno Alpha CVT,Kochi,7,2019,13574,Petrol,2,Automatic,0,First,0,21.4,1197.0,83.1,5.0,10.3,9.51
2742,BMW 5 Series 520d Luxury Line,Ahmedabad,0,2013,90000,Diesel,1,Automatic,0,First,0,22.48,1995.0,190.0,5.0,63.71,19.5
2745,Maruti Vitara Brezza ZDi Plus,Kochi,7,2017,38426,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,11.12,9.13
2746,Maruti Eeco 7 Seater Standard,Pune,10,2011,45000,Petrol,2,Manual,1,First,0,15.1,1196.0,73.0,7.0,4.69,2.25
2749,Maruti Wagon R LXI,Mumbai,9,2010,37822,Petrol,2,Manual,1,First,0,22.5,998.0,67.04,5.0,5.04,2.35
2763,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,3,2017,72202,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,8.0,24.01,17.92
2767,Mercedes-Benz GLE 350d,Coimbatore,3,2018,30706,Diesel,1,Automatic,0,First,0,11.57,2987.0,254.79,5.0,95.13,59.29
2770,Maruti Baleno Alpha,Mumbai,9,2016,12208,Petrol,2,Manual,1,First,0,21.4,1197.0,83.1,5.0,8.78,6.75
2774,Volkswagen Polo GT TSI,Mumbai,9,2017,27853,Petrol,2,Automatic,0,First,0,17.21,1197.0,103.5,5.0,11.26,8.25
2788,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,7,2018,20689,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.68,6.07
2801,Renault KWID 1.0 RXT Optional AMT,Coimbatore,3,2017,53285,Petrol,2,Automatic,0,First,0,22.5,999.0,67.0,5.0,5.42,4.28
2808,Mercedes-Benz GLE 350d,Mumbai,9,2017,19863,Diesel,1,Automatic,0,First,0,11.57,2987.0,254.79,5.0,91.23,64.95
2812,Hyundai Grand i10 1.2 Kappa Sportz,Mumbai,9,2018,3958,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,7.14,5.55
2827,BMW X3 xDrive 20d Luxury Line,Hyderabad,5,2009,58000,Diesel,1,Automatic,0,First,0,18.56,1995.0,190.0,5.0,69.59,17.98
2851,Renault KWID 1.0 RXT Optional,Kochi,7,2018,18335,Petrol,2,Manual,1,First,0,21.7,999.0,67.0,5.0,4.61,4.5
2853,Volkswagen Polo GT TSI,Mumbai,9,2017,25000,Petrol,2,Automatic,0,First,0,17.21,1197.0,103.5,5.0,11.26,7.75
2855,Toyota Fortuner 2.8 2WD AT,Kochi,7,2019,21719,Diesel,1,Automatic,0,First,0,12.9,2755.0,174.5,7.0,37.38,33.13
2859,Renault KWID Climber 1.0 MT,Hyderabad,5,2018,4126,Petrol,2,Manual,1,First,0,21.7,999.0,67.0,5.0,5.3,4.8
2860,Tata Bolt Quadrajet XM,Hyderabad,5,2017,98500,Diesel,1,Manual,1,First,0,22.95,1248.0,74.0,5.0,7.97,6.0
2866,BMW 3 Series 320d,Coimbatore,3,2009,103905,Diesel,1,Automatic,0,First,0,22.69,1995.0,190.0,5.0,43.31,9.92
2876,Audi A6 35 TDI Matrix,Delhi,4,2014,56000,Diesel,1,Automatic,0,First,0,18.53,1968.0,187.74,5.0,59.38,24.0
2878,Volkswagen Vento 1.5 TDI Highline AT,Kochi,7,2017,33550,Diesel,1,Automatic,0,First,0,21.5,1498.0,108.5,5.0,15.86,9.6
2879,Audi A6 35 TDI Matrix,Hyderabad,5,2014,62000,Diesel,1,Automatic,0,First,0,18.53,1968.0,187.74,5.0,67.1,25.0
2890,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,3,2018,27852,Petrol,2,Automatic,0,First,0,14.8,1497.0,121.36,5.0,14.1,10.44
2894,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,9,2018,14000,Diesel,1,Manual,1,First,0,21.5,1497.0,108.5,5.0,12.22,9.9
2900,Isuzu MUX 4WD,Jaipur,6,2017,34429,Diesel,1,Automatic,0,First,0,13.8,2999.0,174.57,7.0,33.68,20.0
2914,Toyota Corolla Altis 1.4 DG,Ahmedabad,0,2012,52100,Diesel,1,Manual,1,First,0,21.43,1364.0,86.79,5.0,19.27,6.5
2915,Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,6,2018,10000,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.96,5.85
2916,Jeep Compass 2.0 Limited 4X4,Coimbatore,3,2019,6261,Diesel,1,Manual,1,First,0,16.3,1956.0,170.0,5.0,26.95,23.91
2917,Maruti Ignis 1.2 AMT Alpha,Coimbatore,3,2019,3906,Petrol,2,Automatic,0,First,0,20.89,1197.0,81.8,5.0,7.96,7.36
2920,Toyota Innova Crysta 2.4 VX MT,Mumbai,9,2017,38000,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,23.06,17.65
2922,Toyota Platinum Etios 1.4 GXD,Hyderabad,5,2015,150000,Diesel,1,Manual,1,First,0,23.59,1364.0,67.05,5.0,9.58,6.0
2937,Toyota Innova Crysta 2.8 GX AT 8S,Delhi,4,2017,18000,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,8.0,20.8,18.25
2957,Nissan Micra Active XV,Ahmedabad,0,2016,41000,Petrol,2,Manual,1,First,0,19.69,1198.0,67.04,5.0,6.78,4.25
2959,Jeep Compass 2.0 Sport,Hyderabad,5,2017,37000,Diesel,1,Manual,1,First,0,17.1,1956.0,170.0,5.0,19.91,16.9
2970,Tata Zest Quadrajet 1.3 75PS XM,Pune,10,2017,72000,Diesel,1,Manual,1,First,0,22.95,1248.0,74.0,5.0,8.93,5.0
2977,Maruti Dzire VXI,Hyderabad,5,2013,34900,Petrol,2,Manual,1,First,0,22.0,1197.0,81.8,5.0,7.97,5.49
2989,Maruti Wagon R LXI,Mumbai,9,2014,25422,Petrol,2,Manual,1,First,0,22.5,998.0,67.04,5.0,5.04,3.25
2990,Maruti Ertiga VDI,Mumbai,9,2018,14000,Diesel,1,Manual,1,First,0,25.47,1248.0,88.5,7.0,11.66,9.25
2994,Mahindra KUV 100 G80 K6 Plus 5Str,Kolkata,8,2017,43000,Petrol,2,Manual,1,First,0,18.15,1198.0,82.0,5.0,7.35,4.5
3002,Maruti Swift VXI,Pune,10,2010,68000,Petrol,2,Manual,1,First,0,22.0,1197.0,81.8,5.0,6.99,2.8
3006,Jeep Compass 2.0 Limited,Pune,10,2018,16039,Diesel,1,Manual,1,First,0,17.1,1956.0,170.0,5.0,23.89,18.5
3012,Maruti Swift LDI,Hyderabad,5,2016,52000,Diesel,1,Manual,1,First,0,28.4,1248.0,74.0,5.0,7.27,5.95
3040,Maruti Swift VDI,Kochi,7,2015,53500,Diesel,1,Manual,1,First,0,28.4,1248.0,74.0,5.0,7.88,5.36
3052,Hyundai Xcent 1.2 CRDi S,Mumbai,9,2016,50000,Diesel,1,Manual,1,First,0,25.4,1186.0,73.97,5.0,8.84,3.5
3059,BMW 3 Series 320d Luxury Line,Delhi,4,2019,87000,Diesel,1,Automatic,0,First,0,22.69,1995.0,190.0,5.0,52.46,6.67
3067,Mahindra Xylo H4,Coimbatore,3,2016,93166,Diesel,1,Manual,1,Second,1,14.02,2179.0,118.3,7.0,11.67,5.85
3075,Toyota Corolla Altis 1.8 VL CVT,Kolkata,8,2018,5000,Petrol,2,Automatic,0,First,0,14.28,1798.0,138.03,5.0,22.37,16.95
3078,Skoda Rapid 1.6 MPI Ambition,Mumbai,9,2015,39822,Petrol,2,Manual,1,First,0,15.41,1598.0,103.52,5.0,12.02,4.68
3080,Renault KWID RXL,Kochi,7,2017,24214,Petrol,2,Manual,1,Second,1,25.17,799.0,53.3,5.0,3.95,3.46
3087,BMW 3 Series 320d,Coimbatore,3,2013,85846,Diesel,1,Automatic,0,First,0,22.69,1995.0,190.0,5.0,48.79,13.08
3119,Maruti Alto K10 LXI CNG Optional,Kochi,7,2018,44202,CNG,0,Manual,1,First,0,32.26,998.0,58.2,4.0,4.66,4.0
3127,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,7,2017,35981,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,11.29,9.51
3129,Maruti Wagon R CNG LXI,Delhi,4,2014,74663,CNG,0,Manual,1,First,0,33.54,998.0,67.04,5.0,5.35,3.25
3132,Porsche Cayenne Base,Kochi,7,2019,14298,Petrol,2,Automatic,0,First,0,13.33,2995.0,340.0,5.0,1.36,2.02
3142,Honda Brio 1.2 S MT,Mumbai,9,2015,22000,Petrol,2,Manual,1,First,0,18.5,1198.0,86.8,5.0,6.23,3.95
3156,Hyundai Grand i10 1.2 Kappa Magna AT,Coimbatore,3,2019,12153,Petrol,2,Automatic,0,First,0,18.9,1197.0,81.86,5.0,7.98,6.84
3158,Audi A4 30 TFSI Premium Plus,Kochi,7,2017,61221,Petrol,2,Automatic,0,First,0,17.84,1395.0,147.51,5.0,47.16,21.73
3161,Mini Cooper 5 DOOR D,Kochi,7,2019,14857,Diesel,1,Automatic,0,First,0,20.7,1496.0,113.98,5.0,41.98,31.55
3163,Ford Endeavour Titanium 4X2,Coimbatore,3,2019,14648,Diesel,1,Manual,1,First,0,12.62,2198.0,158.0,7.0,35.29,27.36
3168,Tata Zest Revotron 1.2T XM,Kochi,7,2017,48198,Petrol,2,Manual,1,First,0,17.57,1193.0,88.7,5.0,7.63,4.65
3173,Maruti Dzire LDI,Pune,10,2012,150000,Diesel,1,Manual,1,Third,2,28.4,1248.0,73.75,5.0,7.91,2.25
3180,Maruti Eeco CNG 5 Seater AC,Ahmedabad,0,2015,47001,CNG,0,Manual,1,First,0,20.0,1196.0,63.0,5.0,5.36,3.72
3181,Maruti Wagon R VXI,Chennai,2,2014,52000,Petrol,2,Manual,1,First,0,22.5,998.0,67.04,5.0,5.51,3.45
3186,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,3,2017,62788,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,8.1,6.08
3190,Toyota Innova Crysta 2.8 GX AT,Pune,10,2018,20300,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,20.97,18.0
3194,Mini Cooper 3 DOOR D,Kochi,7,2015,27641,Diesel,1,Automatic,0,Second,1,20.7,1496.0,113.98,4.0,34.89,24.77
3198,Mahindra XUV500 W7,Delhi,4,2018,9000,Diesel,1,Manual,1,First,0,14.0,2179.0,155.0,7.0,16.4,13.0
3199,BMW 7 Series 730Ld Design Pure Excellence CBU,Kolkata,8,2012,41100,Diesel,1,Automatic,0,First,0,16.77,2993.0,261.49,5.0,1.66,26.5
3203,Honda City i-VTEC CVT VX,Mumbai,9,2015,19000,Petrol,2,Automatic,0,First,0,18.0,1497.0,117.3,5.0,15.29,8.95
3217,Honda City i-VTEC CVT VX,Jaipur,6,2017,35000,Petrol,2,Automatic,0,First,0,18.0,1497.0,117.3,5.0,14.67,7.7
3219,Honda City i-VTEC V,Mumbai,9,2017,11000,Petrol,2,Manual,1,First,0,17.4,1497.0,117.3,5.0,12.57,8.5
3226,Nissan Micra XV D,Chennai,2,2012,93450,Diesel,1,Manual,1,Second,1,23.19,1461.0,63.12,5.0,9.48,2.5
3239,Maruti Dzire ZDI,Ahmedabad,0,2013,56454,Diesel,1,Manual,1,First,0,28.4,1248.0,73.75,5.0,8.95,4.65
3244,Jeep Compass 2.0 Limited Option 4X4,Kolkata,8,2017,15050,Diesel,1,Manual,1,First,0,16.3,1956.0,170.0,5.0,23.19,17.5
3254,Ford Freestyle Titanium Plus Petrol,Kolkata,8,2018,8896,Petrol,2,Manual,1,First,0,19.0,1194.0,94.68,5.0,8.24,7.34
3256,Honda Jazz V,Mumbai,9,2016,31378,Petrol,2,Manual,1,First,0,18.2,1199.0,88.7,5.0,8.71,5.9
3259,Audi Q3 30 TDI Premium FWD,Mumbai,9,2017,31000,Diesel,1,Automatic,0,First,0,18.51,1968.0,147.51,5.0,44.75,27.0
3266,Mercedes-Benz E-Class E400 Cabriolet,Kolkata,8,2015,7501,Petrol,2,Automatic,0,First,0,10.0,2996.0,333.0,4.0,87.57,48.0
3268,Mercedes-Benz GLE 350d,Coimbatore,3,2018,29277,Diesel,1,Automatic,0,First,0,11.57,2987.0,254.79,5.0,95.13,59.65
3273,Maruti Baleno Delta CVT,Coimbatore,3,2018,34630,Petrol,2,Automatic,0,First,0,21.4,1197.0,83.1,5.0,8.57,7.29
3277,Mini Cooper 3 DOOR D,Kochi,7,2016,32298,Diesel,1,Automatic,0,First,0,20.7,1496.0,113.98,4.0,35,23.8
3300,Ford Aspire Ambiente Diesel,Kolkata,8,2018,17000,Diesel,1,Manual,1,First,0,26.1,1498.0,99.0,5.0,7.56,5.65
3324,Mercedes-Benz CLA 200 CDI Sport,Kochi,7,2019,29836,Diesel,1,Automatic,0,First,0,17.9,2143.0,136.0,5.0,43.07,25.75
3334,Toyota Etios Liva 1.4 GD,Delhi,4,2013,84000,Diesel,1,Manual,1,First,0,23.59,1364.0,67.04,5.0,7.83,3.85
3358,Maruti Celerio VXI AMT,Chennai,2,2015,55000,Petrol,2,Automatic,0,First,0,23.1,998.0,67.04,5.0,6,3.5
3373,Honda City i-VTEC VX,Mumbai,9,2017,7500,Petrol,2,Manual,1,First,0,17.4,1497.0,117.3,5.0,13.76,11.15
3374,Renault Duster 110PS Diesel RxZ AMT,Jaipur,6,2016,68163,Diesel,1,Automatic,0,First,0,19.6,1461.0,108.45,5.0,14.11,8.9
3381,Maruti Vitara Brezza LDi,Kochi,7,2017,35384,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,9.12,8.61
3383,Ford EcoSport 1.5 Diesel Titanium,Coimbatore,3,2018,32189,Diesel,1,Manual,1,First,0,23.0,1498.0,98.96,5.0,11.2,9.25
3417,BMW 3 Series 320d,Mumbai,9,2010,67000,Diesel,1,Automatic,0,Second,1,22.69,1995.0,190.0,5.0,47.87,9.25
3425,Maruti Vitara Brezza ZDi Plus,Coimbatore,3,2018,52380,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,12.47,10.15
3430,Toyota Etios Liva 1.2 G,Chennai,2,2011,42000,Petrol,2,Manual,1,Second,1,17.71,1197.0,78.9,5.0,6.51,3.75
3448,Honda WRV i-VTEC VX,Ahmedabad,0,2017,32248,Petrol,2,Manual,1,First,0,17.5,1199.0,88.7,5.0,10.32,8.25
3451,Hyundai Grand i10 1.2 Kappa Asta,Bangalore,1,2014,61325,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,8.1,4.4
3465,Honda Amaze S Petrol,Jaipur,6,2014,69000,Petrol,2,Manual,1,First,0,19.5,1199.0,88.76,5.0,7.52,4.5
3471,Volkswagen Vento 1.5 TDI Highline AT,Hyderabad,5,2016,45492,Diesel,1,Automatic,0,First,0,21.5,1498.0,108.5,5.0,15.68,10.3
3480,Hyundai Grand i10 1.2 Kappa Sportz,Coimbatore,3,2014,33496,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,7.45,5.5
3500,BMW 5 Series 520d Luxury Line,Delhi,4,2013,65000,Diesel,1,Automatic,0,First,0,22.48,1995.0,190.0,5.0,67.87,21.26
3501,Toyota Corolla Altis 1.8 G,Bangalore,1,2016,16471,Petrol,2,Manual,1,Second,1,14.28,1798.0,138.03,5.0,20.48,11.5
3514,Honda City i-VTEC CVT VX,Pune,10,2018,4500,Petrol,2,Automatic,0,First,0,18.0,1497.0,117.3,5.0,15.17,12.5
3518,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,3,2017,42646,Diesel,1,Automatic,0,First,0,19.6,1461.0,108.45,5.0,15.05,12.46
3524,Maruti Swift VDI,Jaipur,6,2015,63310,Diesel,1,Manual,1,First,0,28.4,1248.0,74.0,5.0,8.13,5.1
3537,Honda Jazz V,Hyderabad,5,2015,37000,Petrol,2,Manual,1,First,0,18.2,1199.0,88.7,5.0,8.79,6.3
3539,Nissan Terrano XL D Option,Hyderabad,5,2013,65280,Diesel,1,Manual,1,First,0,19.87,1461.0,83.14,5.0,14.72,5.8
3544,Jeep Compass 2.0 Limited Option 4X4,Jaipur,6,2017,45000,Diesel,1,Manual,1,First,0,16.3,1956.0,170.0,5.0,25.54,20.0
3550,Honda City i-DTEC ZX,Pune,10,2017,42000,Diesel,1,Manual,1,First,0,25.6,1498.0,98.6,5.0,16.84,12.0
3552,Hyundai Grand i10 1.2 CRDi Sportz,Chennai,2,2018,48000,Diesel,1,Manual,1,First,0,24.0,1186.0,73.97,5.0,8.28,5.95
